seitek,ˈsɛjtek,00125.wav
triwecʼh,ˈtriwɛx,00126.wav
bezañ,ˈbe:zɑ̃,00127.wav
cʼhoant,ˈxwɑ̃nt,00128.wav
daou,ˈdɔw,00129.wav
deiz,ˈdɛjs,00130.wav
dek,dek,00131.wav
dilhad,ˈdiʎat,00132.wav
e-pad,eˈpɑ:t,00133.wav
izel,ˈi:zɛl,00134.wav
kaier,ˈkajɛr,00135.wav
kas,ˈkas,00136.wav
klask,ˈklask,00137.wav
kof,ˈkof,00138.wav
laouen,ˈlɔwɛn,00139.wav
nann,nɑ̃n,00140.wav
noz,ˈno:s,00141.wav
sacʼh,ˈsax,00142.wav
unan,ˈy:nɑ̃n,00143.wav
ya,ˈja,00144.wav
abred,aˈbre:t,00145.wav
amañ,ˈɑ̃mɑ̃,00146.wav
aotrou,ˈɔtru,00147.wav
atav,aˈtaw,00148.wav
avel,ˈɑ:vɛl,00149.wav
bag,ˈbɑ:k,00150.wav
cʼhoar,ˈxwɑ:r,00151.wav
cʼhwezek,ˈxwe:zek,00152.wav
deskiñ,ˈdeski,00153.wav
diouzh,ˈdjus,00154.wav
div,diw,00155.wav
diwezhat,diˈwe:zat,00156.wav
e,e,00157.wav
ercʼh,ˈɛrx,00158.wav
er-maez,erˈmɛ:s,00159.wav
eur,ˈœ:r,00160.wav
frouezh,ˈfrwe:s,00161.wav
goude,ˈgu:de,00162.wav
gouzout,ˈgu:zut,00163.wav
hanter,ˈhɑ̃ntɛr,00164.wav
hiziv,ˈhi:ziw,00165.wav
kafe,ˈkafe,00166.wav
kambr,ˈkɑ̃mpr,00167.wav
kentel,ˈkɛntɛl,00168.wav
ker,ˈke:r,00169.wav
koad,ˈkwat,00170.wav
laezh,ˈlɛ:s,00171.wav
lagad,ˈlɑ:gat,00172.wav
lein,ˈlɛjn,00173.wav
liorzh,ˈliɔrs,00174.wav
loar,ˈlwɑ:r,00175.wav
lun,ˈly:n,00176.wav
maen,ˈmẽ:n,00177.wav
mantell,ˈmɑ̃ntɛl,00178.wav
maouez,ˈmɔwɛs,00179.wav
marteze,marˈte:ze,00180.wav
met,mɛt,00181.wav
mignon,ˈmiɲõn,00182.wav
moger,ˈmo:gɛr,00183.wav
oad,ˈwɑ:t,00184.wav
pa,pa,00185.wav
peder,ˈpe:dɛr,00186.wav
pehini,peˈi:ni,00187.wav
peseurt,peˈsœrt,00188.wav
poent,ˈpwɛnt,00189.wav
rak,ˈrak,00190.wav
sadorn,ˈsɑ:dɔrn,00191.wav
seizh,ˈsɛjs,00192.wav
sizhun,ˈsi:zyn,00193.wav
skañv,ˈskɑ̃,00194.wav
skorn,ˈskɔrn,00195.wav
sul,ˈsy:l,00196.wav
terriñ,ˈtɛri,00197.wav
tra,ˈtrɑ:,00198.wav
tregont,ˈtre:gõnt,00199.wav
trocʼhañ,ˈtrohɑ̃,00200.wav
mae,ˈmɛ:,00201.wav
bemdez,ˈbɛmdɛs,00202.wav
butun,ˈbytyn,00203.wav
cʼhoari,ˈxwɑ:ri,00204.wav
eil,ˈɛjl,00205.wav
gant,gɑ̃nt,00206.wav
gwerzhañ,ˈgwɛrzɑ̃,00207.wav
gwez,ˈgwe:s,00208.wav
gwin,ˈgwi:n,00209.wav
gwiskañ,ˈgwiskɑ̃,00210.wav
kontañ,ˈkõntɑ̃,00211.wav
kreñv,ˈkrẽ:,00212.wav
mamm-gozh,mɑ̃mˈgo:s,00213.wav
me,ˈme:,00214.wav
paour,ˈpɔwr,00215.wav
park,ˈpark,00216.wav
penn,ˈpɛn,00217.wav
porzh,ˈpɔrs,00218.wav
saout,ˈsɔwt,00219.wav
sistr,ˈsistr,00220.wav
tev,ˈtew,00221.wav
tomm,ˈtɔm,00222.wav
bugel,ˈby:gɛl,00223.wav
hennezh,ˈhenɛs,00224.wav
pelecʼh,peˈlɛx,00225.wav
petra,peˈtra,00226.wav
bennak,bɛˈnak,00227.wav
betek,ˈbetek,00228.wav
dougen,ˈdu:gɛn,00229.wav
eta,eˈta:,00230.wav
ho,o,00231.wav
krampouezh,ˈkrɑ̃mpwɛs,00232.wav
mat,ˈmɑ:t,00233.wav
naontek,ˈnɑ̃wntek,00234.wav
pegoulz,peˈguls,00235.wav
pesketa,pesˈketa,00236.wav
prest,ˈprest,00237.wav
ret,ˈret,00238.wav
serriñ,ˈsɛri,00239.wav
trist,ˈtrist,00240.wav
un,œn,00241.wav
ur,œr,00242.wav
aes,ˈɛ:s,00243.wav
an,ɑ̃n,00244.wav
anv,ˈɑ̃:no,00245.wav
ar,ar,00246.wav
azezañ,aˈze:zɑ̃,00247.wav
breur,ˈbrø:r,00248.wav
buocʼh,ˈbyɔx,00249.wav
cʼhwecʼh,ˈxwɛx,00250.wav
dindan,dinˈdɑ̃:n,00251.wav
evel,eˈvɛl,00252.wav
fur,ˈfy:r,00253.wav
gar,ˈga:r,00254.wav
goullo,ˈgulo,00255.wav
gwer,ˈgwe:r,00256.wav
hañv,ˈhɑ̃:,00257.wav
holl,ˈɔl,00258.wav
itron,iˈtrõ:n,00259.wav
kaer,ˈkɛ:r,00260.wav
kemer,ˈkemɛr,00261.wav
mañ,mɑ̃,00262.wav
marcʼh,ˈmarx,00263.wav
marcʼhad,ˈmarxat,00264.wav
nijal,ˈni:ʒal,00265.wav
pakad,ˈpakat,00266.wav
pegement,peˈgemɛnt,00267.wav
pep,pep,00268.wav
pevar,ˈpe:var,00269.wav
reiñ,ˈrɛj,00270.wav
sal,ˈsɑ:l,00271.wav
seniñ,ˈse:ni,00272.wav
toull,ˈtul,00273.wav
treut,ˈtrøt,00274.wav
tro,ˈtro:,00275.wav
a-walcʼh,aˈwalx,00276.wav
blev,ˈblɛw,00277.wav
boest,ˈbwest,00278.wav
botez,ˈbotɛs,00279.wav
bro,ˈbro:,00280.wav
degas,ˈde:gas,00281.wav
den,ˈde:n,00282.wav
devezh,ˈde:vɛs,00283.wav
dorn,ˈdɔrn,00284.wav
eno,ˈe:no,00285.wav
etre,eˈtre,00286.wav
geot,ˈgɛwt,00287.wav
gleb,ˈgle:p,00288.wav
gwener,ˈgwe:nɛr,00289.wav
kaol,ˈkɔ:l,00290.wav
kegin,ˈke:gin,00291.wav
klouar,ˈkluar,00292.wav
koan,ˈkwɑ̃:n,00293.wav
leue,ˈlwe:,00294.wav
lous,ˈlu:s,00295.wav
mercʼher,ˈmɛrxɛr,00296.wav
meurzh,ˈmœrs,00297.wav
penaos,peˈno:s,00298.wav
per,ˈpe:r,00299.wav
pod,ˈpo:t,00300.wav
secʼh,ˈsex,00301.wav
skoaz,ˈskwɑ:s,00302.wav
skubañ,ˈsky:bɑ̃,00303.wav
sukr,ˈsykr,00304.wav
tost,ˈtost,00305.wav
tu,ˈty,00306.wav
unnek,ˈœnek,00307.wav
yaou,ˈjɔw,00308.wav
evit,eˈvit,00309.wav
iliz,ˈi:lis,00310.wav
kraou,ˈkrɔw,00311.wav
menez,ˈme:nɛs,00312.wav
ni,ˈni:,00313.wav
o,o,00314.wav
placʼh,ˈplax,00315.wav
roched,ˈrɔʃɛt,00316.wav
adarre,aˈdare,00317.wav
avat,aˈvat,00318.wav
dija,diˈʒɑ:,00319.wav
drouk,ˈdruk,00320.wav
lammat,ˈlɑ̃mat,00321.wav
pesketaer,peskeˈtɛ:r,00322.wav
prenestr,ˈpre:nɛstr,00323.wav
renkañ,ˈrẽŋkɑ̃,00324.wav
ul,œl,00325.wav
aon,ˈɑ̃wn,00326.wav
a-dreñv,aˈdrẽ:,00327.wav
diouzhtu,djusˈty:,00328.wav
eus,ˈøs,00329.wav
e-kichen,eˈkiʃɛn,00330.wav
hanternoz,hɑ̃ntɛrˈno:s,00331.wav
kaout,ˈkɔwt,00332.wav
kenavo,kenaˈvo:,00333.wav
neizh,ˈnɛjs,00334.wav
se,se:,00335.wav
sell,ˈsɛl,00336.wav
siwazh,ˈsiwas,00337.wav
arabat,aˈrɑ:bat,00338.wav
asied,aˈsiɛt,00339.wav
aze,ˈɑ:ze,00340.wav
a-wechoù,aˈweʃu,00341.wav
biz,ˈbi:s,00342.wav
brozh,ˈbro:s,00343.wav
diaes,ˈdiɛs,00344.wav
digeriñ,diˈge:ri,00345.wav
dimeziñ,diˈme:zi,00346.wav
dre,dre:,00347.wav
gad,ˈgɑ:t,00348.wav
gloan,ˈglwɑ̃:n,00349.wav
gounit,ˈgu:nit,00350.wav
int,ˈint,00351.wav
kement,ˈkemɛnt,00352.wav
kreion,ˈkrɛjõn,00353.wav
maez,ˈmɛ:s,00354.wav
martolod,marˈto:lot,00355.wav
mocʼh,ˈmox,00356.wav
neuze,ˈnø:ze,00357.wav
paner,ˈpɑ̃:nɛr,00358.wav
pemzek,ˈpɛmzek,00359.wav
peocʼh,ˈpeɔx,00360.wav
pevarzek,peˈvarzek,00361.wav
plijadur,pliˈʒɑ:dyr,00362.wav
rankout,ˈrɑ̃ŋkut,00363.wav
skeudenn,ˈskø:dɛn,00364.wav
toenn,ˈtoɛn,00365.wav
treuziñ,ˈtrø:zi,00366.wav
trizek,ˈtri:zek,00367.wav
bale,ˈbɑ:le,00368.wav
bazh,ˈbɑ:s,00369.wav
beg,ˈbek,00370.wav
brezhoneg,breˈzõ:nɛk,00371.wav
buhez,ˈbyɛs,00372.wav
digwener,diˈgwe:nɛr,00373.wav
dimezell,diˈme:zɛl,00374.wav
diriaou,diˈrjɔw,00375.wav
disadorn,diˈsɑ:dɔrn,00376.wav
disul,diˈsy:l,00377.wav
en-dro,enˈdro:,00378.wav
giz,ˈgi:s,00379.wav
gouelañ,ˈgwe:lɑ̃,00380.wav
gouzoug,ˈgu:zuk,00381.wav
hon,ˈõn,00382.wav
kant,ˈkɑ̃nt,00383.wav
karr,ˈkar,00384.wav
kentañ,ˈkɛntɑ̃,00385.wav
kompren,ˈkõmprɛn,00386.wav
kuzhat,ˈky:zat,00387.wav
leur,ˈlø:r,00388.wav
liv,ˈliw,00389.wav
livañ,ˈli:vɑ̃,00390.wav
moereb,ˈmwe:rɛp,00391.wav
mui,ˈmɥi:,00392.wav
naon,nɑ̃wn,00393.wav
netra,neˈtrɑ:,00394.wav
niz,ˈni:s,00395.wav
oferenn,oˈfe:rɛn,00396.wav
ouzh,us,00397.wav
padout,ˈpɑ:dut,00398.wav
pe,pe,00399.wav
pemp,ˈpɛmp,00400.wav
perak,peˈrɑ:k,00401.wav
plijout,ˈpli:ʒut,00402.wav
pounner,ˈpunɛr,00403.wav
prad,ˈprɑ:t,00404.wav
pred,ˈpre:t,00405.wav
skouarn,ˈskuarn,00406.wav
soñjal,ˈsõ:ʒal,00407.wav
stagañ,ˈstɑ:gɑ̃,00408.wav
strizh,ˈstri:s,00409.wav
yecʼhed,ˈjehɛt,00410.wav
aour,ˈɔwr,00411.wav
bevañ,ˈbe:vɑ̃,00412.wav
bleud,ˈbløt,00413.wav
don,ˈdõ:n,00414.wav
dreist,ˈdrɛjst,00415.wav
fresk,ˈfresk,00416.wav
gwaz,ˈgwɑ:s,00417.wav
kalon,ˈkɑ:lõn,00418.wav
kein,ˈkɛjn,00419.wav
kontell,ˈkõntɛl,00420.wav
ledan,ˈle:dɑ̃n,00421.wav
lost,ˈlɔst,00422.wav
merenn,ˈme:rɛn,00423.wav
mestr,ˈmɛstr,00424.wav
oaled,ˈwɑ:lɛt,00425.wav
pediñ,ˈpe:di,00426.wav
poan,ˈpwɑ̃:n,00427.wav
rocʼh,ˈrɔx,00428.wav
stêr,ˈstɛ:r,00429.wav
teñval,ˈtẽ:val,00430.wav
tour,ˈtu:r,00431.wav
lazhañ,ˈlɑ:zɑ̃,00432.wav
moan,ˈmwɑ̃:n,00433.wav
pourmen,ˈpurmɛn,00434.wav
teod,ˈtɛwt,00435.wav
war-dro,warˈdro:,00436.wav
al,al,00437.wav
alies,aˈliɛs,00438.wav
arcʼhant,ˈarxɑ̃nt,00439.wav
kuit,ˈkɥit,00440.wav
nebeut,ˈne:bøt,00441.wav
stal,ˈstɑ:l,00442.wav
war-lercʼh,warˈlɛrx,00443.wav
here,ˈhe:re,00444.wav
chupenn,ˈʃypɛn,00445.wav
diskenn,ˈdiskɛn,00446.wav
du-mañ,ˈdymɑ̃,00447.wav
eontr,ˈewntr,00448.wav
fellout,ˈfɛlut,00449.wav
gwall,ˈgwal,00450.wav
gwastell,ˈgwastɛl,00451.wav
hepken,hepˈke:n,00452.wav
komz,ˈkõms,00453.wav
oabl,ˈwapl,00454.wav
ostaleri,ostaˈle:ri,00455.wav
pour,ˈpu:r,00456.wav
secʼhed,ˈsehɛt,00457.wav
tachenn,ˈtaʃɛn,00458.wav
taolenn,ˈtɔ:lɛn,00459.wav
zoken,zoˈke:n,00460.wav
mezheven,meˈze:vɛn,00461.wav
a-benn,aˈbɛn,00462.wav
beaj,ˈbeaʃ,00463.wav
bed,ˈbe:t,00464.wav
daou-ugent,dɔwˈy:gɛnt,00465.wav
dilun,diˈly:n,00466.wav
dimercʼher,diˈmɛrxɛr,00467.wav
du-se,ˈdy:ze,00468.wav
forn,ˈfɔrn,00469.wav
gwir,ˈgwi:r,00470.wav
kastell,ˈkastɛl,00471.wav
lecʼh,ˈlɛx,00472.wav
lestr,ˈlestr,00473.wav
lur,ˈly:r,00474.wav
maneg,ˈmɑ̃:nɛk,00475.wav
pegeit,peˈgɛjt,00476.wav
peogwir,pɛwˈgwi:r,00477.wav
pignat,ˈpiɲat,00478.wav
ribl,ˈripl,00479.wav
sae,ˈsɛ:,00480.wav
soudard,ˈsu:dart,00481.wav
sur,ˈsy:r,00482.wav
tal,ˈtɑ:l,00483.wav
cʼhwevrer,ˈxwevrɛr,00484.wav
gwengolo,gwɛnˈgo:lo,00485.wav
a,a,00486.wav
abaoe,aˈbɔwe,00487.wav
alcʼhwez,ˈalxwɛs,00488.wav
askorn,ˈaskɔrn,00489.wav
bier,ˈbiɛr,00491.wav
bloavezh,ˈblwɑ:vɛs,00492.wav
cʼhoarzhin,ˈxwarzin,00493.wav
degouezhout,deˈgwe:zut,00494.wav
er,ˈer,00495.wav
gouel,ˈgwe:l,00496.wav
gwan,ˈgwɑ̃:n,00497.wav
istor,ˈistɔr,00498.wav
kartenn,ˈkartɛn,00499.wav
kemener,keˈme:nɛr,00500.wav
kleuz,ˈklø:s,00501.wav
kregiñ,ˈkre:gi,00502.wav
lipat,ˈlipat,00503.wav
mad,mɑ:t,00504.wav
mall,ˈmal,00505.wav
marcʼhad-mat,marxadˈmɑ:t,00506.wav
micherour,miˈʃe:rur,00507.wav
nadoz,ˈnɑ:dɔs,00508.wav
plasenn,ˈplasɛn,00509.wav
plegañ,ˈple:gɑ̃,00510.wav
ront,ˈrõnt,00511.wav
rous,ˈru:s,00512.wav
sklaer,ˈsklɛ:r,00513.wav
studiañ,styˈdiɑ̃,00514.wav
tennañ,ˈtɛnɑ̃,00515.wav
treiñ,ˈtrɛj,00516.wav
trugarez,tryˈgɑ:rɛs,00517.wav
pask,ˈpask,00518.wav
beleg,ˈbɛ:lɛk,00519.wav
bev,ˈbew,00520.wav
bourcʼh,ˈburx,00521.wav
decʼh,dex,00522.wav
divalav,diˈvɑ:lo,00523.wav
droug,ˈdruk,00524.wav
echuiñ,eˈʃyi,00525.wav
egile,eˈgi:le,00526.wav
ger,ˈge:r,00527.wav
ket,ˈket,00528.wav
korf,ˈkɔrf,00529.wav
kroaz,ˈkrwɑ:s,00530.wav
lezel,ˈle:zɛl,00531.wav
loa,ˈlwɑ:,00532.wav
marv,ˈmɑ:ro,00533.wav
muiocʼh,ˈmɥiɔx,00534.wav
nerzh,ˈnɛrs,00535.wav
ouzhpenn,usˈpɛn,00536.wav
paeañ,ˈpɛɑ̃,00537.wav
pinvidik,pinˈvi:dik,00538.wav
priz,ˈpri:s,00539.wav
sentiñ,ˈsɛnti,00540.wav
dijuniñ,diˈʒy:ni,00541.wav
kazeg,ˈkɑ:zɛk,00542.wav
laerezh,ˈlɛ:rɛs,00543.wav
mevel,ˈme:vɛl,00544.wav
mil,mil,00545.wav
paper,ˈpapɛr,00546.wav
plad,ˈplɑ:t,00547.wav
rev,ˈrɛw,00548.wav
siminal,siˈmi:nal,00549.wav
baraer,baˈraɛr,00550.wav
chañs,ˈʃɑ̃:s,00551.wav
eget,eˈget,00552.wav
kazetenn,kaˈzetɛn,00553.wav
kilhog,ˈkiʎɔk,00554.wav
bemnoz,ˈbɛmnos,00555.wav
boked,ˈbokɛt,00556.wav
chadenn,ˈʃɑ:dɛn,00557.wav
dimeurzh,diˈmœrs,00558.wav
dous,ˈdus,00559.wav
du-hont,ˈdyõnt,00560.wav
e-tal,eˈtɑ:l,00561.wav
goañv,ˈgoɑ̃,00562.wav
kae,ˈkɛ:,00563.wav
kaoz,ˈkɔ:s,00564.wav
kargañ,ˈkargɑ̃,00565.wav
kiger,ˈki:gɛr,00566.wav
krank,ˈkrɑ̃ŋk,00567.wav
lamp,ˈlɑ̃mp,00568.wav
legumaj,leˈgymaʃ,00569.wav
medisin,meˈdisin,00571.wav
pardon,ˈpardõn,00572.wav
poazhañ,ˈpwɑ:zɑ̃,00573.wav
roued,ˈrwet,00574.wav
seurt,ˈsœrt,00575.wav
sivi,ˈsi:vi,00576.wav
terzhienn,ˈtɛrzjɛn,00577.wav
traoñ,ˈtrɑ̃w,00578.wav
warcʼhoazh,warˈxwas,00579.wav
eost,ˈɛwst,00580.wav
amezeg,ɑ̃ˈme:zɛk,00581.wav
armel,ˈarmɛl,00582.wav
brein,ˈbrɛjn,00583.wav
dañsal,ˈdɑ̃sal,00584.wav
diwar,ˈdiwar,00585.wav
dleout,ˈdleut,00586.wav
ed,ˈe:t,00587.wav
el,el,00588.wav
evn,ˈewn,00589.wav
ezhomm,ˈezõm,00590.wav
gallout,ˈgalut,00593.wav
galv,ˈgalf,00594.wav
greun,ˈgrø:n,00595.wav
gwellocʼh,ˈgwɛlɔx,00596.wav
gwerenn,ˈgwe:rɛn,00597.wav
gwinizh,ˈgwi:nis,00598.wav
hadañ,ˈhɑ:dɑ̃,00599.wav
kard,ˈkart,00600.wav
koulskoude,kulsˈku:de,00601.wav
koumoul,ˈkumul,00602.wav
koustañ,ˈkustɑ̃,00603.wav
linenn,ˈli:nɛn,00604.wav
malañ,ˈmɑ:lɑ̃,00605.wav
marcʼhadour,marˈxɑ:dur,00606.wav
mestr-skol,mɛstˈsko:l,00607.wav
na,na,00608.wav
percʼhenn,ˈpɛrxɛn,00609.wav
plouz,ˈplu:s,00610.wav
poull,ˈpul,00611.wav
sailh,ˈsaʎ,00612.wav
servijañ,sɛrˈvi:ʒɑ̃,00613.wav
soñj,ˈsõ:ʃ,00614.wav
spontañ,ˈspõntɑ̃,00615.wav
tostaat,tosˈtɑ:t,00616.wav
traezh,ˈtrɛ:s,00617.wav
tri-ugent,triˈy:gɛnt,00618.wav
doue,ˈdue,00619.wav
nedeleg,neˈde:lɛk,00620.wav
ahont,ˈaõnt,00621.wav
birviñ,ˈbirvi,00622.wav
boutailh,ˈbutaʎ,00623.wav
brank,ˈbrɑ̃ŋk,00624.wav
cʼhwerv,ˈxwɛ:ro,00625.wav
dañvad,ˈdɑ̃:vat,00626.wav
daoust,ˈdɔwst,00627.wav
diaoul,ˈdjɔwl,00628.wav
digor,ˈdi:gɔr,00629.wav
eme,eˈme:,00630.wav
enor,ˈe:nɔr,00631.wav
foar,ˈfwɑ:r,00632.wav
foenn,ˈfwɛn,00633.wav
gwaskañ,ˈgwaskɑ̃,00634.wav
gwenan,ˈgwe:nɑ̃n,00635.wav
gwirionez,gwiˈrjõ:nɛs,00636.wav
hep,ˈhep,00637.wav
hocʼh,ˈox,00638.wav
kentocʼh,ˈkɛntɔx,00639.wav
klas,ˈklas,00640.wav
kleiz,ˈklɛjs,00641.wav
kleñved,ˈklẽ:vɛt,00642.wav
krib,ˈkri:p,00643.wav
krocʼhen,ˈkrohɛn,00644.wav
kurun,ˈky:ryn,00645.wav
memes,ˈmemɛs,00647.wav
mervel,ˈmɛrvɛl,00648.wav
meud,ˈmø:t,00649.wav
micher,ˈmiʃɛr,00650.wav
nozvezh,ˈnozvɛs,00651.wav
pajenn,ˈpɑ:ʒɛn,00652.wav
parrez,ˈparɛs,00653.wav
rod,ˈro:d,00654.wav
sant,ˈsɑ̃nt,00655.wav
skeul,ˈskø:l,00656.wav
tanav,ˈtɑ̃:no,00657.wav
tas,ˈtas,00658.wav
tavarn,ˈtɑ:varn,00659.wav
tevel,ˈte:vɛl,00660.wav
urzh,ˈyrs,00661.wav
yaouankiz,jɔˈwɑ̃ŋkis,00662.wav
genver,ˈgɛnvɛr,00663.wav
amanenn,ɑ̃mˈɑ̃:nɛn,00664.wav
bern,ˈbɛrn,00665.wav
boull,ˈbul,00666.wav
cʼhwezhañ,ˈxwe:zɑ̃,00667.wav
danvez,ˈdɑ̃nvɛs,00668.wav
dastum,ˈdastym,00669.wav
disoñjal,diˈzõ:ʒal,00670.wav
dispign,ˈdispiɲ,00671.wav
distagañ,disˈtɑ:gɑ̃,00672.wav
eured,ˈø:rɛt,00673.wav
farsus,ˈfarsys,00674.wav
glin,ˈgli:n,00675.wav
gwazh,ˈgwɑ:s,00676.wav
houarn,ˈhuarn,00677.wav
kar,kar,00678.wav
kav,ˈkaw,00679.wav
krediñ,ˈkre:di,00680.wav
kriz,ˈkri:s,00681.wav
lemm,ˈlɛm,00682.wav
lonkañ,ˈlõŋkɑ̃,00683.wav
louarn,ˈluarn,00684.wav
magañ,ˈmɑ:gɑ̃,00685.wav
moged,ˈmo:gɛt,00686.wav
neñv,ˈnẽ:,00687.wav
nizez,ˈni:zɛs,00688.wav
noazh,ˈnwɑ:s,00689.wav
pezh,ˈpe:s,00690.wav
preñv,ˈprẽw,00691.wav
puñs,ˈpỹ:s,00692.wav
santout,ˈsɑ̃ntut,00693.wav
skeiñ,ˈskɛj,00694.wav
taer,ˈtɛ:r,00695.wav
voulouz,ˈvu:lus,00696.wav
barv,ˈbɑ:ro,00697.wav
biskoazh,ˈbiskwas,00698.wav
bleuñv,ˈblœ̃:,00699.wav
gwad,ˈgwɑ:t,00700.wav
holen,ˈho:lɛn,00701.wav
koef,ˈkwef,00702.wav
laer,ˈlɛ:r,00703.wav
lann,ˈlɑ̃n,00704.wav
mouezh,ˈmwe:s,00705.wav
poazh,ˈpwɑ:s,00706.wav
stered,ˈste:rɛt,00707.wav
truez,ˈtryɛs,00708.wav
cʼhwez,ˈxwe:s,00709.wav
diwezhañ,diˈwe:zɑ̃,00710.wav
fenoz,feˈno:s,00711.wav
hont,ˈhõnt,00712.wav
karr-nij,karˈni:ʃ,00713.wav
marcʼh-houarn,marˈxuarn,00714.wav
plijus,ˈpli:ʒys,00715.wav
anavezout,ɑ̃naˈve:zut,00716.wav
bilhed,ˈbiʎɛt,00717.wav
cʼhoarvezout,xwarˈve:zut,00718.wav
keloù,ˈkɛ:lu,00719.wav
korn-butun,kɔrnˈbytyn,00720.wav
chaseal,ʃaˈseal,00721.wav
delienn,ˈdeljɛn,00722.wav
diskargañ,disˈkargɑ̃,00723.wav
eben,eˈbe:n,00724.wav
e-kreiz,eˈkrɛjs,00725.wav
farsal,ˈfarsal,00726.wav
goulenn,ˈgu:lɛn,00727.wav
goustad,ˈgustat,00728.wav
